,copyrightYear,doi,abstract
2446,1957,10.1103/PhysRev.107.995,"Results of a self-consistent field calculation using Slater's average exchange potential are given for atomic iron. The usual restriction of doubly filled orbitals in closed shells is dropped and orbitals, with the same n and l quantum numbers but different ms are varied separately. This results in a separate set of radial wave functions for the two one-electron spin directions. The differences in these functions arise from an exchange polarization effect produced by the net spin of the Fe atom. Wave functions, one-electron energy parameters, net spin charge density, and electrostatic potential functions for each spin are given. A comparison is made between these results and those obtained by the Hartree method. The magnetic form factor found with these new Fe orbitals is shown to be in good agreement with experiment. The fine-structure splittings are also evaluated and found not to be in as good agreement as those calculated by the Hartree method. The hyperfine splitting of the Mn++ ion is estimated using the new orbitals and found to be in much better agreement than estimates based on a limited configuration interaction."
2447,1957,10.1103/PhysRev.108.1,"The physical mechanism of secondary electron emission under the impact of high-speed heavy particles is analyzed. The treatment is based on the formation of secondaries according to the Bohr-Bethe theory of ionization, the diffusion of the slow secondaries to the surface, and their subsequent escape in the vacuum. The yield is found to be proportional to the rate of energy loss of the incident particles, and it is shown to be essentially the same for all metals, independent of their work function, conductivity, and other bulk properties. The observed energy distribution of the secondaries, the effect of adsorbed layers and the dependence of the yield on temperature, particle charge, and velocity are found to be explained in terms of this mechanism. The application to the general problem of the escape of electrons from metals and to the study of electron capture and loss by ions passing through solids is discussed."
2448,1957,10.1103/PhysRev.108.1000,"Measurements of the elastic differential cross section for the scattering of protons by helium have been made at 12 energies between 11.4 Mev and 18 Mev. Ten scattering angles were used spaced at 15 intervals from 30 to 165 in the laboratory system; however, not all the angles were used at each energy. Standard gas-scattering techniques were employed. Scattered particles were detected by a scintillation counter and recorded on a 20-channel pulse-height analyzer. At nine of the scattering angles (165 excluded), smoothed curves of the cross section versus energy were plotted and values taken from these curves were analyzed in terms of S- and P-wave phase shifts. Two separate sets of S and P phase shifts intersecting at about 13 Mev were found. Least-squares fits are given for the solutions which are a continuation of phase-shift analyses at lower energies. Attempts to include D waves in the fits failed. There is evidence that D phase shifts remain less than about 8 up to 16 Mev; however, at 18 Mev it appears that some D wave may be required. Rough agreement with current polarization experiments is cited."
2449,1957,10.1103/PhysRev.108.1007,"The O16(d,p)O17 reaction was used to measure the positions and widths of O17 levels from 4- to 6-Mev excitation. Proton spectra were obtained at high resolution with a broad-range spectrograph. This instrument accurately measured the widths and shapes of the energy distributions of the proton groups arising from the wider levels. Disagreements among other experiments concerning the O17 levels are explained in terms of the large difference in level widths. A comparison of these directly measured widths is made with those obtained from neutron scattering experiments. The observed shape of the energy distribution is that predicted by resonance theory. The 0.87-Mev level is found to be single rather than double as recently suggested. Excitation energies obtained (in Mev) are 0.8710.004, 3.0550.004, 3.8460.005, 4.5530.006, 5.0830.010, 5.2150.005, 5.3780.007, 5.6950.005, 5.7310.005, 5.8660.005, 5.940.015. Widths of levels 4, 5, 7, and 11 are (in kev) 405, 955, 287, and 2310, respectively. The other levels have widths less than 8 kev."
2450,1957,10.1103/PhysRev.108.1015,"Excitation functions at nine angles for the reaction N15(p,0)C12 are reported for incident proton energies from 0.9 to 1.3 Mev. At a laboratory angle of 140 the excitation function has been extended to 2.9 Mev. In addition to previously reported resonances near 1.03 and 1.21 Mev, corresponding to O16 states at 13.08 and 13.24 Mev, an anomalous behavior is observed near 1.87 Mev. Additional evidence for such behavior near this energy has been obtained from the N15(p,1)C12 reaction. The qualitative features of the N15(p,0)C12 data are shown to be consistent with the assignments J=1-, J=1-, and J=3- for the 0.34, 1.03, and 1.21-Mev resonances respectively. Fitting Breit-Wigner curves to the measured excitation function of N15(p,1)C12 near 1.64 and 1.98 Mev has yielded ER=1.6400.003 Mev (=683 kev) and ER=1.9790.003 Mev (=232 kev) for these previously reported resonances (O16 states at 13.65 and 13.97 Mev). It is shown that p1 for the resonance at 1.98 Mev."
2451,1957,10.1103/PhysRev.108.1019,The breakup of Be9* from the 2.43-Mev state has been studied. The level was excited by inelastic scattering of 42-Mev alpha particles and the breakup was studied by examining coincidences between inelastically scattered alpha particles and particles from the breakup. It was found that decay from this state proceeds less than 10% of the time by neutron emission to the ground state of Be8 and less than 1% of the time by gamma emission to the ground state of Be9. The low neutron-emission probability is consistent with the usual 52- spin-parity assignment for this state.
2452,1957,10.1103/PhysRev.108.1025,"The nuclear reactions Li7(,n)B10 and Li7(,)Li7* have been studied for monoenergetic  particles from a Van de Graaff accelerator. The threshold in the (,n) reaction was measured to be 4.379 Mev which gives a Q value of -2.788 Mev. Resonances in the yield of 0.477-Mev  radiation were observed at -particle energies of 1.91, 2.49, 3.06, 3.6, 4.39, 4.6, and 5.0 Mev. The inverse reaction B10(n,)Li7 was also studied by using monoenergetic neutrons with energies between 0.020 and 4.80 Mev. Resonances were observed at neutron energies of 0.53, 1.86, 2.8, and 4.1 Mev. Excited states in B11 from these experiments are indicated at 9.88, 10.25, 10.62, 10.97, 11.46, 11.6, 11.9, 13.2, 14.0, and 15.2 Mev."
2453,1957,10.1103/PhysRev.108.1028,The differential cross sections for the scattering of 3.7-Mev neutrons from zirconium and molybdenum have been measured in a ring geometry by using a Bonner-type scintillation detector. The measurements were taken over an angular range of 124 degrees between 18 and 142. Angular resolution effects have been removed by iteration. Multiple scattering effects have been removed by a Monte Carlo type calculation.
2454,1957,10.1103/PhysRev.108.103,"Inelastically scattered protons from manganese targets bombarded with protons from an electrostatic accelerator have been studied with the high-resolution magnetic spectrograph. Forty-three excited states in Mn55 have been established in the region between the ground state and 4.0 Mev. The first five of these levels are at 0.127, 0.983, 1.289, 1.527, and 1.884 Mev."
2455,1957,10.1103/PhysRev.108.1032,"The scattering of dipole photons of 100 to 200 Mev from protons and deuterons is calculated by means of dispersion relations, experimental data on photopion production from nucleons, and several reasonable approximations. A previous calculation by the author using this model is modified by the use of an additional dispersion relation derived by Mathews. The differential cross sections resulting from this modification are smaller than the previously calculated cross sections for scattering angles in the backward direction. Comparison of the photon-deuteron calculations with the results of future experiments will yield information concerning the photon-neutron scattering amplitude."
2456,1957,10.1103/PhysRev.108.1036,"The associated production of strange particles by 1.1-Bev kinetic energy - mesons by the reactions (1)-+p-+K+, (2)-+p0+0, (3)-+p0+0, has been studied in a 12-in. propane bubble chamber. The total cross sections in hydrogen for the above reactions are 0.170.04 mb, 0.220.06 mb, and 0.210.06 mb, respectively. In the --p center-of-mass, the - is produced in the forward direction while the 0 and 0 are produced in the backward direction. Lifetimes for the -, 0, and 0 are found to be (1.67-0.28+0.48)10-10 sec, (2.24-0.48+0.79)10-10 sec, and (0.74-0.15+0.21)10-10 sec, respectively. From various angular distributions of decay products, we find that the data are consistent with spin 1/2 for the 0 and - and spin 0 for the 0. The data are also consistent with parity conservation in strange-particle decay."
2457,1957,10.1103/PhysRev.108.1040,"The relative yield of positive pions from H, C, Al, Cu, Ag, and Pb produced by 335-Mev bremsstrahlung has been measured with a counter telescope at 5 angles to the beam line ranging from 45 to 150 and at 9 meson energies extending from 12 Mev to 125 Mev. The pion production cross sections at all angles and at all energies of 65 Mev or lower follow approximately a ZA13 dependence. Fair agreement with the optical model is obtained at the lower energies, provided account is taken of effects of the Coulomb potential and the potential arising from the pion-nucleon interaction. In the intermediate region from 22.5 to 65 Mev, the yields from the heavy nuclei are somewhat lower than predicted. At pion energies of 95 and 125 Mev, where the production cross sections follow more nearly a Z dependence, it is possible to get moderately good agreement with theory by considering the effects of the Coulomb potential on the production near the cutoff energy."
2458,1957,10.1103/PhysRev.108.1046,"Measurements of the number of bubbles per centimeter in a propane bubble chamber are described. A method insensitive to the effects which cause inefficiency in direct bubble counting was used, based on the distribution of bubble spacings. The number of bubbles per centimeter measured by using this method is consistent with the rate of delta-ray formation."
2459,1957,10.1103/PhysRev.108.1048,With a well-collimated beam of 3-Bev protons and a hydrogen-filled diffusion cloud chamber a search has been made for V particles from p-p collisions. The rarity of such events leads to the conclusion that the V-production cross section is probably less than 0.2 mb. This value is significantly smaller than the 1 mb V-production cross section observed for --p collisions at comparable center-of-mass energies. At the same time a cross section of 7.41.5 mb is obtained for iron (per nucleus). A direct comparison of p-p and p-Fe interactions under essentially similar conditions allows us to conclude that an interaction with an iron nucleus is at least 4 times more effective in producing V's than is an interaction with a free proton.
2460,1957,10.1103/PhysRev.108.1053,"Gold targets have been irradiated with 3.0-Bev protons and the yields of cesium, barium, and rubidium nuclides investigated by mass spectrometry. A high-sensitivity surface-ionization technique, using a multiple filament source arrangement and capable of determining (within 5%) 108 alkali metal atoms, was developed. The separation of products from the gold target was accomplished by extracting the gold into diethyl ether. The contamination level of stable Cs133 in the gold foil and reagents was determined by isotope dilution methods to be 9109 atoms. Ratios of production cross sections for neutron-deficient cesium isotopes and their barium parents were calculated from mass spectra. Cross sections were placed on an absolute scale by a radiochemical determination of the Cs127 cross section. No cesium isotopes with A&gt;128 are formed in appreciable independent yield. An upper limit of 0.002 mb was placed on cross sections for Cs132 and the neutron-excess cesium isotopes. No stable cesium resulting from nuclear reactions was detected above the natural contamination background. Ratios of production cross sections for rubidium radioisotopes were determined. The natural contamination of rubidium was too large to place a meaningful limit on stable rubidium production."
2461,1957,10.1103/PhysRev.108.1058,"The mean free path of high-energy electrons for direct electron pair production has been measured in Ilford G-5 nuclear emulsions. Electrons were produced by directing the 850-Mev bremsstrahlung beam from the Cornell synchrotron upon a Pb target and analyzing the negative members of the resultant electron pairs in a magnetic momentum analyzer. Electrons in the range 400 to 800 Mev were intercepted by glass-mounted emulsions 400  thick and, after processing, the resultant tracks were followed a distance of 1 cm in a search for electron pairs. Separation of bremsstrahlung-produced pairs from the real tridents was achieved by measuring the spatial distribution of the former about the primary tracks. This distribution, after being corrected for scanning efficiency and fitted with the theoretical distribution of Koshiba and Kaplon, indicated that for the conditions of this experiment 72% of the events classified initially as tridents were in reality bremsstrahlung pairs. The mean free path for the direct pair production process was found to be 14347 cm for a primary electron energy of 53694 Mev. The theoretical prediction of Racah for this energy is 148 cm and is in good agreement with this experiment."
2462,1957,10.1103/PhysRev.108.106,"Using isotopically enriched samples, we have observed gamma-ray transitions in krypton from Coulomb excitation by 6.6- and 6.1-Mev alpha particles. The following energies were obtained for the first excited 2+ states; Kr78, 450 kev; Kr80, 620 kev; Kr82, 780 kev; and Kr84, 880 kev. No gamma radiation was observed for Kr83."
2463,1957,10.1103/PhysRev.108.1063,"It is shown that a Schwarzschild singularity, spherically symmetrical and endowed with mass, will undergo small vibrations about the spherical form and will therefore remain stable if subjected to a small nonspherical perturbation."
2464,1957,10.1103/PhysRev.108.1070,"A brief review of the physical significance of the paradox of Einstein, Rosen, and Podolsky is given, and it is shown that it involves a kind of correlation of the properties of distant noninteracting systems, which is quite different from previously known kinds of correlation. An illustrative hypothesis is considered, which would avoid the paradox, and which would still be consistent with all experimental results that have been analyzed to date. It is shown, however, that there already is an experiment whose significance with regard to this problem has not yet been explicitly brought out, but which is able to prove that this suggested resolution of the paradox (as well as a very wide class of such resolutions) is not tenable. Thus, this experiment may be regarded as the first clear empirical proof that the aspects of the quantum theory discussed by Einstein, Rosen, and Podolsky represent real properties of matter."
2465,1957,10.1103/PhysRev.108.1076,"As a means of incorporating isotopic spin into the foundations of the theory of spin  particles, a slight modification of the free-particle Dirac equations has previously been proposed which follows from a consideration of the group-space of the proper Lorentz group. Further considerations of the group-space suggest two additional modifications which may contribute, in a mutually complementary way, toward establishing a new symmetry principle applicable to parity-nonconserving interactions."
2466,1957,10.1103/PhysRev.108.1078,"New relations expressing the imaginary part of the scattering amplitude as a coupling constant term and an integral over the physical spectrum of the real part of the amplitude are developed. These relations are applied to compute the meson-nucleon coupling constant from the experimental phase shifts, yielding the value f2=0.084, and are used to compute the s-wave scattering lengths from the p-wave data."
2467,1957,10.1103/PhysRev.108.108,"A new 202 hour electron-capturing rhenium isotope has been investigated. A mass assignment to Re181 is made from the energy threshold for its production by alpha-particle bombardment of Ta181 and by the chemical separation and identification of its radioactive daughter, W181. A very prominent 365.5-kev transition is observed in the gamma-ray and electron spectra. It is deduced from the 365.5-kev gamma to K x-ray intensity ratio that more than 80% of the electron capture populates the level at 365.50.2 kev above the ground state. This level apparently decays directly to ground by a delayed M2 transition, and is believed to be the same 14-microsecond isomer observed by others from a (,n) reaction on W182.  A possible interpretation of the 365.5-kev transition in terms of the odd-neutron states of a spheroidal well is given."
2468,1957,10.1103/PhysRev.108.1083,"The - interaction is studied in the Bethe-Salpeter approximation by first obtaining the ""effective"" interaction Hamiltonian with the help of the lowest order S matrix for - scattering. This Hamiltonian is then used to set up a Goldberger-type integral equation for - scattering which is solved for the cases of total isotopic spins I=0,2, assuming the mesons to be in s states with respect to each other. It is found that the interaction in the state I=0 is too strongly attractive to give a resonance. On the other hand, a resonance is obtained for the case I=2, at a momentum (in the center-of-mass system) k93 Mev/c for each meson, taking G24=15.5."
2469,1957,10.1103/PhysRev.108.110,"The distributions in energy and angle of the neutrons emitted from the interaction of 14.1-Mev neutrons with zirconium have been obtained by using nuclear emulsion plates as detectors. The energy distribution of the low-energy nonelastic neutrons is Maxwellian. The angular distribution of the low-energy nonelastic neutrons (0.5-4.0 Mev) is found to be isotropic; whereas, that of the high-energy nonelastic neutrons (4.0-12.0 Mev) is peaked in the forward direction. The significance of these results in terms of the statistical model of the nucleus is discussed."
2470,1957,10.1103/PhysRev.108.1109,"The lift on an airfoil in a velocity field of perfect superfluid flow within liquid helium ii has been found to vanish for sufficiently low velocity. Thus the flow is pure potential flow with no circulation, and the viscosity boundary condition of zero velocity at the trailing edge (Kutta condition) which is normally introduced does not apply. We believe this to be the first illustration of absolutely perfect hydrodynamic flow, i.e., one in which the viscosity vanishes identically and therefore asserts no influence on the flow field."
2471,1957,10.1103/PhysRev.108.1113,"A thin CsI(Tl) crystal was used as the phosphor of a scintillation detector of fission fragments. Light and heavy fragments from pile neutron fission of U235 were magnetically separated and scintillation pulse heights in CsI(Tl) crystals determined as a function of range in various gases and metals. The relationship between pulse height and fragment energy was found to be linear. Specific fluorescence of fission fragments in the crystal increases monotonically with specific energy loss. Energy vs range curves were obtained for median-mass light and heavy fragments in H2, He, air, A, Al, Ni, and Au."
2472,1957,10.1103/PhysRev.108.1116,The basic equations describing the motion of an ideal relativistic fluid in the presence of electromagnetic fields are formulated both in their differential and in their integral form. From the integral equations shock conditions are derived. In the limit of weak shocks the velocities of propagation of the various kinds of shocks and the discontinuities of the various physical quantities are calculated.
2473,1957,10.1103/PhysRev.108.1122,Decay times of fluorescent light emitted by organic solutions and by organic and inorganic solids when excited by high-energy radiation are determined under various experimental conditions. The pulse-height ratios for alpha-particle and electron excitations are also found.  The probabilities for radiative and nonradiative transitions of the light emitting molecule are estimated and compared with values obtained from absorption measurements. The time required for energy transfer is estimated. The ratio of pulse heights obtained under alpha-particle excitation to those obtained under electron excitation are found to be roughly the same for all organic solutions and solids despite wide variations in lifetime; also no difference in lifetime between alpha-particle and electron excitations is found. This is not explained by present theories. A new theory to explain these facts is outlined.
2474,1957,10.1103/PhysRev.108.113,"The gamma rays emitted from Tm171 following the Er171 beta decay have been measured with the twometer curved-crystal spectrometer and a semicircular beta-ray spectrometer, enabling a comparison of the nuclear levels and rotational parameters for the Tm171 ground-state band with the corresponding levels and parameters of Tm169. The measured gamma rays have the following energies in kev: 5.060.05, 12.400.05, 111.630.02, 116.690.03, 124.030.03, 210.620.15, 284.90.7, 295.970.15, 308.370.15. In comparing the rotational parameters, a slight increase in the deformation of Tm171 over that of Tm169 is noted. The relatively large change in the decoupling parameter (a=-0.8563) for Tm171 compared with that of Tm169 cannot be accounted for entirely by the small change in nuclear deformation."
2475,1957,10.1103/PhysRev.108.1131,A very sensitive vacuum microbalance has been used to study the sputtering of germanium and silicon by argon ion bombardment. Current densities of 1 to 12 a/cm2 were used.  The rates of sputtering of these materials were observed as a function of ion energy. A sputtering threshold energy of 46 ev was determined for germanium. The bombardment data are discussed in terms of the nature of the target surface. Oxidation data at 3 mm oxygen pressure are offered as evidence of the cleanliness of the bombarded surface. Approximately 1015 argon atoms/cm2 were trapped or adsorbed by the target during the bombardment process.
2476,1957,10.1103/PhysRev.108.1136,"The magnetic field dependence of the magnetoresistive effects and the Hall coefficient have been investigated at 78K and at liquid helium temperatures. Results at very low magnetic field strength are in agreement with the assumption of an isotropic conduction band. Quantization of the electron orbits causes deviations from the conventional theory at large fields (of the order of a few thousand gauss and higher). Oscillations in the magnetoresistance observed at 4.2K and lower are attributed to these quantum effects. The measured period of oscillation agrees reasonably well with theoretical predictions. An effective mass value of 0.01 m0 is obtained from the field and temperature dependence of the amplitude of the oscillations. The magnitude of the magnetoresistive effects appears to depend considerably on the geometry and inhomogeneity of the sample. Strong magnetic fields also influence the distribution of ""free"" and bound electrons, causing a freeze-out effect at temperatures of liquid helium."
2477,1957,10.1103/PhysRev.108.1146,"The conductivity and Hall effect of p-type InSb have been measured as a function of magnetic field strength and of temperature. The behavior of the Hall coefficient and the magnetoresistance at 78K is consistent with a valence band which consists of two bands with different effective masses and has degenerate maxima at the center of the Brillouin zone. Negative magnetoresistances have been observed at liquid helium temperatures; the effect is positive, however, for very pure samples when the magnetic field strength exceeds 103 gauss. The conduction mechanism in this temperature range is still poorly understood."
2478,1957,10.1103/PhysRev.108.1152,"The effect of the electrostatic crystalline field has been considered for a magnetic crystal in which the ions are strongly coupled by ferromagnetic exchange. On the basis of the one-ion approximation that the exchange can be represented by a Weiss molecular field, it is possible to derive expressions for the anisotropy constants, Ki(T), in terms of the parameters occurring in the spin Hamiltonian of the isolated ions, and the magnetization of the lattice at the temperature, T. The treatment assumes that the magnetic electrons can be considered as localized on the individual ions, and thus applies primarily to nonmetallic substances such as ferrites. The presence of more than one aligned sublattice is easily taken into account if the magnetization of each sublattice can be calculated from the Nel equations."
2479,1957,10.1103/PhysRev.108.1158,"By means of a virial theorem and perturbation theory, the anisotropy energy of a ferromagnetic crystal is expressed in terms of the Coulomb energy alone. This latter energy is approximated by a multipole expansion and the anisotropy constants are given in terms of electric multipole moments and crystallinepotential constants. The multipole moments, which arise from the orbital angular momentum induced by spin-orbit coupling, have been estimated from the known values of angular momentum. The method avoids explicitly carrying out high-order perturbations, and furnishes a physical interpretation of the anisotropy mechanism without the use of phenomenological couplings. In most cases, the principal mechanism leading to anisotropy is found to be different from those considered by Van Vleck."
2480,1957,10.1103/PhysRev.108.116,"By using a partially polarized neutron beam from the D(d,n)He3 reaction, the elastic scattering polarization of a number of elements has been observed. For Be and C scatterers, the angular dependence of the polarization can be correlated with parameters characterizing compound-nucleus levels excited by the incident neutrons. For medium and heavy scattering nuclei, the observed polarization is in poor agreement with the few existing optical-model calculations for 3.1-Mev neutrons. With the exception of Pb, all medium and heavy elements studied yielded positive polarization in the 30-60 range of scattering angles, i.e., they would produce polarization in the direction knkn in single scattering events."
2481,1957,10.1103/PhysRev.108.1164,Samples of both n-type and p-type Bi2Te3 containing from 31017 to 51019 extrinsic carriers were prepared and the phase diagram in the region about Bi2Te3 has been clarified. The Hall mobility parallel to the cleavage planes varies as T-1.5 for holes and T-2.7 for electrons. Room temperature values are p=420 cm2 v-1 sec-1 and n=270 cm2 v-1 sec-1. The energy gap is Eg=0.20 electron volts. From thermal conductivity measurements over the temperature range from 77K to 380K the lattice conductivity was found to be L=5.1010-2T watt-deg-1 cm-1. The sharp rise in the thermal conductivity in the vicinity of room temperature was attributed to transport of energy by ambipolar diffusion of electrons and holes.
2482,1957,10.1103/PhysRev.108.1171,"The magnetic properties of UMn2 have been investigated for the temperature range from 360K down to 4.2K. Below room temperature the magnetization curves are slightly bent toward the field axis and below 230K the sample showed a small remanence. The susceptibility against temperature curve shows a -type anomaly at 260K and a steep increase at about 4K. The hysteresis loops are not symmetrical with respect to the origin and the degree of asymmetry depends upon either the temperature or whether the sample was cooled in magnetic field or without field. From some evidence, UMn2 is classified as an antiferromagnetic material with a small parasitic ferromagnetism which may arise from uncompensated sublattice moments or uncompensated domain wall magnetization."
2483,1957,10.1103/PhysRev.108.1175,"A theory of superconductivity is presented, based on the fact that the interaction between electrons resulting from virtual exchange of phonons is attractive when the energy difference between the electrons states involved is less than the phonon energy, . It is favorable to form a superconducting phase when this attractive interaction dominates the repulsive screened Coulomb interaction. The normal phase is described by the Bloch individual-particle model. The ground state of a superconductor, formed from a linear combination of normal state configurations in which electrons are virtually excited in pairs of opposite spin and momentum, is lower in energy than the normal state by amount proportional to an average ()2, consistent with the isotope effect. A mutually orthogonal set of excited states in one-to-one correspondence with those of the normal phase is obtained by specifying occupation of certain Bloch states and by using the rest to form a linear combination of virtual pair configurations. The theory yields a second-order phase transition and a Meissner effect in the form suggested by Pippard. Calculated values of specific heats and penetration depths and their temperature variation are in good agreement with experiment. There is an energy gap for individual-particle excitations which decreases from about 3.5kTc at T=0K to zero at Tc. Tables of matrix elements of single-particle operators between the excited-state superconducting wave functions, useful for perturbation expansions and calculations of transition probabilities, are given."
2484,1957,10.1103/PhysRev.108.120,"An experimental measurement of the electric dipole moment of the neutron by a neutron-beam magnetic resonance method is described. The result of the experiment is that the electric dipole moment of the neutron equals the charge of the electron multiplied by a distance D=(-0.12.4)10-20 cm. Consequently, if an electric dipole moment of the neutron exists and is associated with the spin angular momentum, its magnitude almost certainly corresponds to a value of D less than 510-20 cm."
2485,1957,10.1103/PhysRev.108.1204,"The residual resistivities of dilute alloys of gold are calculated by the same method which was employed in a similar study of the residual resistivities of copper and silver alloys. As in the earlier work, the calculated results agree well with experiment with the exception of the alloys gold-copper and gold-silver. The application of the modification of the Friedel sum condition to other problems is suggested."
2486,1957,10.1103/PhysRev.108.1207,The structure of the shock-wave system to be expected in a material which can undergo a polymorphic transition is discussed. It is shown that the slope of the coexistence line in the p-T plane for the transition can be determined from shock-wave measurements at a given initial temperature. Shock waves produced by high explosives were used to investigate the equation of state of bismuth. An electrical contact technique was used to measure shock and free-surface velocities. The transition near 25 kilobars reported by Bridgman was observed but the transition pressure was about 3.5 kilobars higher than in static experiments. Other results indicated that recrystallization is a faster process than melting under shock conditions. Evidence suggests that the relaxation time for recrystallization in bismuth at 42C and 27 kilobars is less than 1 sec.
2487,1957,10.1103/PhysRev.108.1212,"Measurements of the magnetoresistance coefficients at 4.2 K and at 20.4 K in single crystals of copper, silver, and gold in the low magnetic field range, and in single crystals of silver for high magnetic field are reported. The low-field results were analyzed under the assumptions that a relaxation time exists and is a function of the energy alone, and that the Fermi surface is a single closed surface within the first Brillouin zone and not touching its boundary. It is found that for copper the magnetoresistance cannot be fitted very well on this model. We assume that at low temperature the hypothesis that a relaxation time exists is a good approximation, and suggest that in copper the Fermi surface touches the boundary of the first Brillouin zone. The magnetoresistance of silver in high magnetic fields shows marked anisotropy and no sign of saturation."
2488,1957,10.1103/PhysRev.108.1219,"Nuclear magnetic resonances of F19 in single crystals of paramagnetic MnF2 have been observed in the temperature region 68K to 300K. Shifts of the resonances from the predicted field, , were as large as eight percent. With the external magnetic field not in the ab plane, two separate resonances were observed corresponding to the two different fluorine positions in the unit cell. Both the shifts and the splittings were functions of magnetic field, temperature, and crystal orientation. As the temperature was increased, the line widths increased from 25 to 42 oe. These observations were explained by postulating a small degree of covalency in the F- bond to the paramagnetic Mn++ ion. Each bond includes 0.480.02% fluorine 2s character. The contributions of the 2p and 2p orbitals are discussed and the effects of the covalency upon the long-range order and the superexchange mechanism are considered.  The lines disappeared abruptly at the Nel temperature, Tn, (681K) because the sudden increase in sublattice magnetization shifts them beyond the frequency range of the spectrometer. Attempts to observe the resonances at low temperatures are described."
2489,1957,10.1103/PhysRev.108.123,Fourth-order meson-nucleon scattering amplitudes show that at least one subtraction is required for the no-spin-flip amplitudes and that subtraction is not needed for the spin-flip amplitudes used by Goldberger.
2490,1957,10.1103/PhysRev.108.1231,"The two formulations of Okaya and Pepinsky for direct solution of noncentric crystal structures via anomalous dispersion are compared, and it is demonstrated that use of the Ps(u) function is in general superior to the method in which two or more simultaneous quadratic equations are used to determine phases of individual Fh and F-h values."
2491,1957,10.1103/PhysRev.108.1233,In a previous paper a theory of direct exchange and superexchange coupling between d or f electrons and conduction electrons was given. This led to the possibility of an antiferromagnetic-ferromagnetic transition. The present paper is devoted to a more complete treatment of this magnetic transition by way of examining a particular case. Both the molecular-field theory and a cluster theory due to Oguchi are applied. Each leads to a magnetic transition and both predict that for all such transitions the ferromagnetic state must have a lower free energy at 0K than the antiferromagnetic state. The transition is found to be of second order. Expressions are given for the parallel and perpendicular susceptibility in the neighborhood of the Nel point. A discussion is given showing how the direct exchange interaction with the conduction electrons makes a magnetic transition possible. A comparison is made between the theory given here and recent experimental results in Cu-Mn alloys.
2492,1957,10.1103/PhysRev.108.1243,"The refractive index n of saturated helium vapor has been measured from 1.5 to 4.2K, by means of a Jamin interferometer and a metal cryostat with optically flat windows. About 200 experimental points were taken. For the Hg green line (=5462.27 A), (n-1) increases smoothly from (312)10-6 at 1.5K to (330015)10-6 at 4.2K. Eight separate absolute determinations of (n-1) were made over this temperature range and the results were combined with the calculated vapor density to give the polarizability per mole, N0. The mean polarizability is 0.12450.0005 cm3/mole. Individual determinations from 1.8 to 4.2K do not deviate from this by more than 0.0008. This value should be compared with 0.12460.0002 cm3/mole which may be calculated from the measurements of (n-1) for helium gas at N.T.P."
2493,1957,10.1103/PhysRev.108.1246,"The Hamiltonian for the diatomic 1 heteronuclear molecule HD in a magnetic field is discussed. Included in the Hamiltonian are the effects of the nuclear and rotational magnetic moments interacting with the external magnetic field, magnetic shielding, molecular diamagnetism, and spin-spin magnetic interaction of the two nuclei, the interaction of the nuclear magnetic moments with the field due to the rotation of the molecule, the interaction of nuclear electric quadrupole moment, and the electron coupled nuclear spin-spin interaction. General expressions for the matrix elements of such a Hamiltonian are developed. Perturbation theory expressions for the energy of HD in the first rotational state are obtained in both strong and weak-field limits. General expressions are given up to third order and numerical perturbation coefficients as calculated with a digital computing machine are given up to ninth order. The secular equation for HD is numerically solved for intermediate fields. Curves are given showing the theoretical dependence of the energy upon the field. Effects of zero-point molecular vibration and centrifugal stretching are discussed."
2494,1957,10.1103/PhysRev.108.1251,The interactions which occur between nuclear and electronic motions in electronically degenerate states of octahedral molecules are investigated.
2495,1957,10.1103/PhysRev.108.1256,"The radiative corrections of relative order Z23 (absolute order Z43 ry), corresponding to the Lamb shift terms arising from the nuclear Coulomb potential, and some of the Z3 corrections, arising from radiative interactions between the electrons, are calculated for the ground-state energy of the helium atom. The Z23 corrections are all calculated, but of the Z3 corrections, which are expected to be much smaller, we retain only those containing ln as a factorthese may be estimated rather easilyand neglect the rest, regarding unity as being small compared to ln.  The Z23 corrections require the calculation of an ""average excitation energy"" similar to the one defined by Bethe for the hydrogen atom. It is found that virtual transitions to states (1s)(continuousp)P1 are the most important, and these are calculated using the momentum matrix-elements obtained by Huang, who used a six-parameter Hylleraas wave function for the ground state, and a product wave function with Z=2 for the s-electron and Z=1 for the p-electron (full screening), for the excited states. Transitions to states other than (1s)(continuousp)P1 are also considered, and the value of the ""average excitation energy"" for helium is found to be 80.510 ry, where the limits represent an estimate of the probable error of the result. The radiative correction to the ionization potential, which will be the difference of the corrections for the two-electron atom and the ion, is found to be -1.260.2 cm-1, where the error includes an estimation of the Z3 terms which are not calculated.  The corresponding radiative corrections are calculated, less accurately, also for Li+, and the results generalized for helium-like ions of higher Z by an extrapolation formula."
2496,1957,10.1103/PhysRev.108.126,"A formalism for the covariant description of scattering processes involving composite particles is derived from first principles. Its basic ingredients are the Green's functions of quantum field theory combined with a physically sound formulation of the adiabatic hypothesis. Explicit expressions are presented for various examples of nucleon-nucleus and boson-nucleus collisions. It is shown that the impulse approximation can be formulated for such problems. A general method of obtaining electromagnetic moments of nuclei, based on the scattering formalism, is also derived. The normalization condition for covariant amplitudes is discussed and its application to bound-state problems reviewed. In particular, a method of carrying out perturbation theory for the discrete spectrum is suggested."
